
Minimum time:  1461	(0.37327 ms)

Test #		Time
813:		1482	(0.378635 ms)
814:		1489	(0.380423 ms)
815:		1495	(0.381956 ms)
816:		1515	(0.387066 ms)
817:		1480	(0.378124 ms)
818:		1478	(0.377613 ms)
819:		1486	(0.379657 ms)
820:		1480	(0.378124 ms)
821:		1481	(0.378379 ms)
822:		1486	(0.379657 ms)
823:		1493	(0.381445 ms)
824:		1493	(0.381445 ms)
825:		1499	(0.382978 ms)
826:		1506	(0.384767 ms)
827:		1486	(0.379657 ms)
828:		1492	(0.38119 ms)
829:		1520	(0.388343 ms)
830:		1500	(0.383234 ms)
831:		1484	(0.379146 ms)
832:		1490	(0.380679 ms)
833:		1483	(0.37889 ms)
834:		1489	(0.380423 ms)
835:		1482	(0.378635 ms)
836:		1496	(0.382212 ms)
837:		1515	(0.387066 ms)
838:		1483	(0.37889 ms)
839:		1469	(0.375313 ms)
840:		1486	(0.379657 ms)
841:		1527	(0.390132 ms)
842:		1519	(0.388088 ms)
843:		1479	(0.377868 ms)
844:		1494	(0.381701 ms)
845:		1493	(0.381445 ms)
846:		1518	(0.387832 ms)
847:		1501	(0.383489 ms)
848:		1506	(0.384767 ms)
849:		1705	(0.435609 ms)
850:		1491	(0.380934 ms)
851:		1494	(0.381701 ms)
852:		1475	(0.376846 ms)
853:		1481	(0.378379 ms)
854:		1533	(0.391665 ms)
855:		1541	(0.393709 ms)
856:		1562	(0.399074 ms)
857:		1487	(0.379912 ms)
858:		1514	(0.38681 ms)
859:		1494	(0.381701 ms)
860:		1498	(0.382723 ms)
861:		1477	(0.377357 ms)
862:		1501	(0.383489 ms)
863:		1558	(0.398052 ms)
864:		1524	(0.389365 ms)
865:		1478	(0.377613 ms)
866:		1476	(0.377102 ms)
